,umap_0,umap_1,type
0,-0.81465361250389,5.96424777151994,1.0
1,-7.456834046425451,11.799812425687021,-1.0
2,7.548822776291205,10.047716231528032,-1.0
3,-12.149421609624415,4.390866109874037,-1.0
4,-9.847762558432143,0.47047287162094964,-1.0
5,-9.179861071784785,-6.407204751866903,-1.0
6,-6.901399450214254,-9.353490053969594,-1.0
7,-0.04042046445760936,-12.982842345411186,-1.0
8,0.6238611173089295,1.2163188155314153,0.0
9,5.209560156052483,2.9023226380023397,-1.0
10,12.625884469672561,-1.1455999740003127,-1.0
11,4.189141716651913,-5.099393824411498,-1.0
12,-3.07015696704009,10.895672128821232,0.0
13,-0.23643687188677023,-1.5826688565379288,0.0
